condition,case,run,resolved_model,required_block_fraction,component_recall,parameter_precision,parameter_recall,parameter_f1,topology_recall,topology_precision,explicit_missing_markers,assumption_markers,latency_seconds
full_pipeline_existing,ABTR,1,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0,11,0.0
full_pipeline_existing,MSRE,1,gpt-5.2-2025-12-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,40,0.0
llm_only,ABTR,1,gpt-5.2-2025-12-11,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1,1,14.828576600004453
llm_only,ABTR,2,gpt-5.2-2025-12-11,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1,1,13.294420699996408
llm_only,ABTR,3,gpt-5.2-2025-12-11,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,0,1,14.058098600005906
llm_only,MSRE,1,gpt-5.2-2025-12-11,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,8,1,16.875005999994755
llm_only,MSRE,2,gpt-5.2-2025-12-11,0.2222222222222222,0.0,1.0,0.0273972602739726,0.05333333333333332,1.0,1.0,13,1,19.729511000005004
llm_only,MSRE,3,gpt-5.2-2025-12-11,0.2222222222222222,0.0,1.0,0.0273972602739726,0.05333333333333332,1.0,1.0,13,1,18.770431500000996
no_image_processing,ABTR,1,gpt-5.2-2025-12-11,1.0,0.5833333333333334,0.5957446808510638,0.23728813559322035,0.3393939393939394,0.0,0.0,58,0,56.53843730000517
no_image_processing,ABTR,2,gpt-5.2-2025-12-11,1.0,0.75,0.7368421052631579,0.23728813559322035,0.358974358974359,0.0,0.0,60,0,61.4201458000025
no_image_processing,ABTR,3,gpt-5.2-2025-12-11,1.0,0.75,0.7551020408163265,0.3135593220338983,0.4431137724550898,0.0,0.0,50,0,60.92307790000632
no_image_processing,MSRE,1,gpt-5.2-2025-12-11,0.2222222222222222,0.0,1.0,0.00684931506849315,0.013605442176870748,0.0,0.0,79,1,101.3537900000083
no_image_processing,MSRE,2,gpt-5.2-2025-12-11,0.4444444444444444,0.0,1.0,0.00684931506849315,0.013605442176870748,0.0,0.0,107,0,113.01740889999928
no_image_processing,MSRE,3,gpt-5.2-2025-12-11,0.2222222222222222,0.0,1.0,0.00684931506849315,0.013605442176870748,0.0,0.0,64,0,105.3585796000043
no_intermediate_file,ABTR,1,gpt-5.2-2025-12-11,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,21,0,26.7778896000018
no_intermediate_file,ABTR,2,gpt-5.2-2025-12-11,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,29,1,26.280693799999426
no_intermediate_file,ABTR,3,gpt-5.2-2025-12-11,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,35,1,33.50226829999883
no_intermediate_file,MSRE,1,gpt-5.2-2025-12-11,1.0,0.0,0.5,0.00684931506849315,0.013513513513513513,0.0,0.0,6,19,35.829470999997284
no_intermediate_file,MSRE,2,gpt-5.2-2025-12-11,0.2222222222222222,0.0,1.0,0.00684931506849315,0.013605442176870748,0.0,0.0,30,13,34.14104139999836
no_intermediate_file,MSRE,3,gpt-5.2-2025-12-11,0.2222222222222222,0.0,1.0,0.00684931506849315,0.013605442176870748,0.0,0.0,15,14,34.487664900007076
no_validator,ABTR,1,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,0.9,1.0,0,11,0.0
no_validator,ABTR,2,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,0.9,1.0,0,11,0.0
no_validator,ABTR,3,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,0.9,1.0,0,11,0.0
no_validator,MSRE,1,gpt-5.2-2025-12-11,1.0,0.9583333333333334,1.0,0.9794520547945206,0.9896193771626297,0.9090909090909091,1.0,0,39,0.0
no_validator,MSRE,2,gpt-5.2-2025-12-11,1.0,0.9583333333333334,1.0,0.9794520547945206,0.9896193771626297,0.9090909090909091,1.0,0,39,0.0
no_validator,MSRE,3,gpt-5.2-2025-12-11,1.0,0.9583333333333334,1.0,0.9794520547945206,0.9896193771626297,0.9090909090909091,1.0,0,39,0.0
validator_repair,ABTR,1,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0,10,22.725691400002688
validator_repair,ABTR,2,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0,10,22.58708409999963
validator_repair,ABTR,3,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0,10,23.709731099996134
validator_repair,MSRE,1,gpt-5.2-2025-12-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,39,29.336520699995162
validator_repair,MSRE,2,gpt-5.2-2025-12-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,39,29.312926999999036
validator_repair,MSRE,3,gpt-5.2-2025-12-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,39,28.70748569999705
